seed,n_clusters,ARI_origin,AMI_origin,ARI_region,AMI_region
0,3,0.6525012623541315,0.5859944421072815,0.013837493255778049,0.015720445027230502
1,3,0.6527117911596186,0.5868813284071319,0.01380016039889422,0.015720474746828847
2,3,0.652295235089561,0.5856017252593951,0.013778708648885153,0.015661386201633407
3,3,0.6524909059016015,0.5862694233321551,0.013769541381271032,0.01566091760493335
4,3,0.6522043084833734,0.5855712497885147,0.013775811503179266,0.015702262599706154
5,3,0.6526208806504727,0.5860888161959443,0.013726865830881854,0.015626822055568545
6,3,0.652155483144886,0.5855021029034765,0.013771970755355351,0.015694006189732095
7,3,0.6521931732009846,0.585605090021117,0.013785132028949492,0.015677104564152958
8,3,0.6527106921794108,0.5860988489934842,0.013714559719112972,0.015608039407933136
9,3,0.6529626505036217,0.5869331610356899,0.013778855878230727,0.015708257857318716
